29438881, мкр Калкаман-3,140000000,732,2010,в коттедже,10,
21446764, Достык — Гоголя,7632000000,24000,,в бизнес-центре,99,евроремонт
24417526, Достык — Гоголя,4751956000,12492,,в бизнес-центре,,
48178360, мкр Самал-2,1877500000,2113.9,1987,,,требует ремонта
47967207, Фурманова,350000000,568,1998,в административном здании,11,
48279484, мкр Самал-2,1893500000,2113.9,1987,,,требует ремонта
49136035, проспект Аль-Фараби 15к4В,52218010,106,2010,в бизнес-центре,,евроремонт
29851099, Сейфуллина 498,65000000,115,2011,в бизнес-центре,1,евроремонт
28234843, Сейфуллина 498,75000000,117,2011,в бизнес-центре,5,евроремонт
25796777, Т Аль-Фараби 7 — Казыбаева,74000000,150,2002,в бизнес-центре,6,евроремонт
30005781, Тимирязева 73 — Ауэзова,120000000,65,1970,в жилом доме,3,хорошее
49085372, проспект Аль-Фараби 15к4В,52218010,106.6,2010,в бизнес-центре,,хорошее
47252736, проспект Абая — Тургута Озала,495000000,2054,2009,,,свободная планировка
47353642, Абылай хана — Маметовой,35000000,50,1956,в жилом доме,4,хорошее
47357220, Габдуллина — Байзакова,30000000,154,1962,в жилом доме,7,среднее
47259462, Жамбыла — Байзакова,45000000,340,2007,в жилом доме,11,хорошее
49557198, Курмангазы 129 — Сейфуллина,89000000,290,1964,,,хорошее
26787459, Богенбай батыра 52,120000000,500,,иное,,хорошее
49557090, Рыскулбекова Кайрата (Обручева) 28/8 — Саина,54500000,182,2015,,,черновая отделка
49278199, Желтоксан 111А — Казыбек би,19000000,38,2007,в бизнес-центре,2,евроремонт
49277567, Қабанбай Батыра - Калдаякова,112000000,190,2006,в жилом доме,6,
48536138, Северное Кольцо,144999999,1050,1976,в административном здании,22,хорошее
22747481, мкр Ерменсай,110000000,640,,в коттедже,7,
46458218, Гагарина — Утепова,46100000,128,1982,в жилом доме,7,хорошее
19566321, Абая — Момышулы,200300000,700,,в коттедже,36,
49279693, проспект Аль-Фараби 21 — Желтоксан,28000000,50,2014,в жилом доме,2,евроремонт
49555764, Курмангазы 129 — Сейфуллина,89000000,290,1964,,,хорошее
49555732, Рыскулбекова Кайрата (Обручева) 28/8 — Саина,54500000,182,2015,,,черновая отделка
49555343, Северное Кольцо,1500000,15,2015,в административном здании,1,хорошее
49555252, Райымбека (Ташкентская) 219д — Полежаева,50000000,320,2011,,,хорошее
30496196, проспект Аль-Фараби — Желтоксан,118000000,197,2007,в бизнес-центре,4,требует ремонта
19395468, Жарокова 95 — Курмангазы,31000000,42.5,,в жилом доме,2,среднее
49091303, мкр №3,42000000,135.8,2015,в жилом доме,3,хорошее
48162355, Радостовца 158,20500000,70,2016,в жилом доме,2,евроремонт
30429731, Байганина 28 — Жамбыла,45000000,339,2006,в жилом доме,,хорошее
47176599, Тимирязева 51А,30000000,153,1962,в жилом доме,,хорошее
49501595, Аль-Фараби 7 — Козыбаева,45000000,90,2008,в бизнес-центре,2,черновая отделка
22198928, проспект Аль-Фараби 17/1 — Желтоксан,643000000,1100,,в бизнес-центре,,евроремонт
15298931, Джандосова 58 — Айманова,400000000,1657.7,1973,в административном здании,99,требует ремонта
47682815, Бухар Жырау 67 — Ауэзова,50000000,117,1956,в жилом доме,7,среднее
28647390, Сатпаева 22В — Сейфуллина,113980000,166,1963,в жилом доме,6,евроремонт
29689355, Маркова 27/5 — Бухар Жырау,25000000,70,2009,в бизнес-центре,2,евроремонт
29929649, Байсеитовой 32 — Курмангазы,28000000,55,,в жилом доме,2,хорошее
48462765, Толе би — Шагабутдинова,63000000,93,,в жилом доме,4,хорошее
49036620, проспект Аль-Фараби 15к4В — Желтоксан,79159760,161.6,2010,в бизнес-центре,,хорошее
49036468, проспект Аль-Фараби 15к4В — Желтоксан,52218010,106.6,2010,в бизнес-центре,,хорошее
48724374, проспект Райымбека — Бауыржана Момышулы,100000000,400,2016,иное,18,евроремонт
49551964, Тимирязева 55Б,42000000,57,1980,в жилом доме,3,евроремонт
25576914, Омаровой 21,65680150,303.3,,,,хорошее
25576892, Омаровой 21,54800000,274.6,,в жилом доме,,хорошее
25115928, Омаровой 21,67400000,303.7,,в жилом доме,,
26896140, Кожамкулова 273,95000000,336.9,2008,в жилом доме,,евроремонт
28872604, Сейфуллина — Богенбай батыра,45600000,113,2014,в бизнес-центре,5,евроремонт
49399672, проспект Абая 31/187,150000000,140,1969,в жилом доме,6,евроремонт
49550498, Абая 52 — Байзакова,200000000,319.7,1972,,,
49550648, Байзакова — Шевченко,272000000,475,2014,,,
49550501, мкр Айнабулак-4,637500000,1655.4,1991,,,
49550496, Абылай Хана (Коммунистическая) — Маметовой,562500000,1623,2000,,,
49550462, Аскарова 1,280000000,527.2,2005,,,
49550421, Жамбыла 211/71 — Айманова,85000000,123.9,2009,,,
49550417, Сатпаева 2 — Достык (Ленина),90480000,164.5,1962,,,
49550415, Пушкина — Маметовой,277000000,242,1970,,,
49550570, мкр Мамыр-1,32500000,49.3,2013,в жилом доме,,хорошее
49550103, Шолохова — Сейфуллина,296000000,957.9,1977,,,
49550101, Жандосова — Розыбакиева,502000000,876.1,2002,,,
49549992, Снегина — Мендикулова,540000000,1120,2014,,,
49549987, Достык (Ленина) — Омаровой,555000000,492.7,1980,,,
49549970, Назарбаева 277/66 — Кажымукана,2590000000,3146.2,2016,,,
49549961, мкр Керемет,703000000,699.3,2003,,,
49549945, Кунаева 1 — Макатаева,2655000000,15530,1980,,,
49549940, Толе би 72 — Абылай Хана (Коммунистическая),481000000,379,1952,,,
49549920, Карасай батыра 123 — Шагабутдинова,1260000000,6318,1961,,,
49549925, Сатпаева — Ауэзова,33300000,36,1956,,,
49549921, Сейфуллина — Богенбай батыра,92500000,108,1960,,,
49549881, Желтоксан — Жамбыла,41000000,71,1965,,,
49549883, Абылай Хана (Коммунистическая) — Курмангазы,96200000,57,1965,,,
49549858, мкр Самал-2,150000000,160,1990,,,
49549863, Жандосова — Розыбакиева,740000000,2300,2003,,,
49549862, Кабанбай батыра — Назарбаева,740000000,570,1952,,,
49549818, Аль-Фараби 53 А — Шашкина,444000000,527,2008,,,
49549823, Кабанбай батыра 123 — Ади Шарипова(Мечникова),172000000,457.6,1956,,,
49549792, Ауэзова 183 — Тимирязева,111000000,73.1,1975,,,
49549765, Айтеке би — Калдаякова,160000000,382.7,2010,,,
49549649, Аль-Фараби — Ходжанова (пересечение с Аль Фараби),275650000,438.5,2014,,,
49549651, Байзакова — Казыбек би,118000000,248.1,1967,,,
22699936, Достык,350000000,800,,,,
30605227, Абая — Байзакова,700000000,2000,2010,в бизнес-центре,,свободная планировка
30605212, Абая — Байзакова,350000000,1000,2010,в бизнес-центре,,свободная планировка
49549067, Макатаева — Сейфуллина,45000000,60,1970,,,
28305409, Аль-Фараби — Аскарова Асанбая,280000000,1100,,в жилом доме,17,евроремонт
